id,name,description,actor,input_data,output_data,dependencies,tags
task_001,월간 매출 리포트 생성,ERP 매출 데이터를 기준으로 월간 매출 리포트와 주요 지표를 생성합니다.,system,ERP 매출원장;기준월,월간매출리포트;핵심지표,,재무;리포트;정형데이터
task_002,주간 매출 리포트 생성,주간 매출 데이터를 집계해 팀별 실적 리포트를 생성합니다.,system,ERP 매출원장;기준주차,주간매출리포트;팀별실적,,재무;리포트;정형데이터
task_003,분기 매출 예측,최근 12개월 실적과 파이프라인 데이터를 기반으로 분기 매출을 예측합니다.,system,월별매출;영업파이프라인,분기예측값;신뢰구간,task_001,예측;재무;분석
task_004,비용 센터별 예산 소진율 분석,비용 센터별 예산 대비 실제 지출을 분석해 소진율을 계산합니다.,system,예산계획;지출전표,소진율리포트;이상항목,,예산;분석;재무
task_005,법인카드 부정 사용 탐지,법인카드 사용 내역에서 규정 위반 가능성이 높은 거래를 탐지합니다.,system,법인카드내역;사용규정,위험거래목록;탐지점수,,감사;탐지;재무
task_006,세금계산서 자동 대사,세금계산서와 회계 전표를 자동 매칭하여 불일치 항목을 식별합니다.,system,세금계산서;회계전표,대사결과;불일치목록,,회계;검증;자동화
task_007,현금흐름 경보 생성,예상 현금 유입/유출을 기반으로 4주 내 유동성 리스크를 경보합니다.,system,입출금예측;채권채무현황,현금흐름경보;리스크사유,task_004,재무;리스크;알림
task_008,수금 지연 고객 우선순위화,미수채권 데이터를 분석해 수금 우선순위 고객 리스트를 생성합니다.,system,미수채권목록;고객거래이력,우선순위리스트;수금전략,,재무;고객;우선순위
task_009,신규 리드 자동 분류,유입된 신규 리드를 업종/규모/의도 기준으로 자동 분류합니다.,system,리드정보;회사DB,리드등급;세그먼트,,영업;분류;CRM
task_010,리드 스코어링,리드 행동 로그와 과거 전환 데이터를 활용해 전환 확률 점수를 부여합니다.,system,행동로그;전환이력,리드점수;우선순위,task_009,영업;예측;CRM
task_011,영업 미팅 요약 생성,미팅 녹취록을 요약하고 후속 액션 아이템을 추출합니다.,system,미팅녹취록,요약본;액션아이템,,영업;요약;문서
task_012,영업 미팅 후속 메일 초안,미팅 결과를 기반으로 고객 후속 메일 초안을 작성합니다.,system,미팅요약;고객정보,메일초안,task_011,영업;생성;커뮤니케이션
task_013,견적서 자동 작성,제품/가격 정책을 반영해 고객 맞춤 견적서를 자동 작성합니다.,system,제품카탈로그;가격정책;고객요구,견적서초안,task_010,영업;문서;자동화
task_014,견적 승인 라우팅,할인율과 계약조건 기준으로 견적 승인 경로를 자동 라우팅합니다.,system,견적서;승인규정,승인요청;승인경로,task_013,영업;승인;워크플로우
task_015,고객 이탈 위험 예측,이용 패턴과 문의 이력을 기반으로 이탈 위험 고객을 예측합니다.,system,이용로그;문의이력;결제정보,이탈위험점수;대응권장안,,고객;예측;리텐션
task_016,프로모션 성과 분석,캠페인별 노출/클릭/구매 데이터를 분석해 성과를 평가합니다.,system,캠페인데이터;매출데이터,성과리포트;개선안,,마케팅;분석;성과
task_017,광고 예산 재배분 추천,채널별 ROAS를 기반으로 다음 주 광고 예산 재배분을 추천합니다.,system,채널성과;예산현황,재배분안;예상효과,task_016,마케팅;추천;최적화
task_018,브랜드 언급 감성 분석,SNS와 커뮤니티 텍스트를 분석해 브랜드 감성 추이를 파악합니다.,system,소셜데이터;키워드목록,감성점수;이슈키워드,,마케팅;NLP;분석
task_019,콘텐츠 캘린더 자동 생성,타겟 세그먼트와 시즌 이슈를 반영해 월간 콘텐츠 캘린더를 생성합니다.,system,타겟세그먼트;시즌이슈;브랜드가이드,콘텐츠캘린더,task_018,마케팅;생성;기획
task_020,A/B 테스트 결과 요약,A/B 테스트 통계값을 해석해 우수안과 적용 권고를 제시합니다.,system,테스트결과;유의수준,요약리포트;권고안,,마케팅;실험;분석
task_021,채용 이력서 자동 스크리닝,채용 공고 요건과 이력서를 매칭하여 적합도 점수를 산출합니다.,system,채용공고;이력서,적합도점수;후보순위,,인사;채용;분류
task_022,면접 질문 추천,직무 역량 기준으로 후보자 맞춤 면접 질문을 추천합니다.,system,직무역량모델;후보자프로필,질문리스트,task_021,인사;추천;채용
task_023,온보딩 체크리스트 생성,부서/직무별 표준 템플릿을 기반으로 입사자 온보딩 체크리스트를 생성합니다.,system,직무정보;부서정책,온보딩체크리스트,,인사;온보딩;자동화
task_024,직원 만족도 설문 분석,직원 만족도 설문 데이터를 분석해 개선 우선 영역을 도출합니다.,system,설문응답;부서정보,만족도리포트;개선우선순위,,인사;분석;조직문화
task_025,이직 위험 직원 탐지,근태/평가/보상 데이터를 활용해 이직 위험도를 탐지합니다.,system,근태데이터;평가데이터;보상데이터,위험직원목록;대응권고,task_024,인사;리스크;예측
task_026,근태 이상 패턴 탐지,출퇴근 기록에서 지각/결근 이상 패턴을 자동 탐지합니다.,system,출퇴근기록;근무규정,이상패턴목록;위반점수,,인사;탐지;근태
task_027,구매 발주 자동 생성,재고 임계치와 수요 예측치를 기반으로 구매 발주서를 자동 생성합니다.,system,재고현황;수요예측;거래처정보,발주서초안,,구매;자동화;SCM
task_028,발주 승인 라우팅,발주 금액과 품목 위험도를 기준으로 승인 라인을 라우팅합니다.,system,발주서;승인정책,승인요청;승인경로,task_027,구매;승인;워크플로우
task_029,거래처 성과 평가,"납기 준수율, 불량률, 단가를 종합해 거래처 성과를 평가합니다.",system,납기데이터;품질데이터;단가데이터,거래처평가등급;개선권고,,구매;평가;공급망
task_030,공급 리스크 모니터링,국가/물류/재무 지표를 결합해 공급 리스크를 모니터링합니다.,system,국가리스크지표;물류지연데이터;재무정보,리스크대시보드;경보,task_029,공급망;리스크;모니터링
task_031,재고 부족 예측,판매 추이와 리드타임을 기반으로 재고 부족 시점을 예측합니다.,system,재고데이터;판매데이터;리드타임,부족예측일;보충권고,,재고;예측;SCM
task_032,재고 과잉 품목 탐지,회전율이 낮은 품목을 탐지해 과잉 재고를 식별합니다.,system,재고현황;판매회전율,과잉품목목록;소진전략,,재고;탐지;최적화
task_033,물류비 정산 검증,운송사 청구서와 계약 단가를 대조해 정산 오류를 검증합니다.,system,운송청구서;계약단가표,검증결과;오류내역,,물류;검증;정산
task_034,배송 ETA 예측,실시간 운송 상태와 과거 지연 패턴으로 배송 ETA를 예측합니다.,system,운송상태;이력데이터,예상도착시간;지연확률,,물류;예측;운영
task_035,배송 지연 경보 발송,예상 도착시간이 SLA를 초과하면 고객/담당자에게 지연 경보를 발송합니다.,system,ETA예측;SLA정책;연락처,경보내역;수신확인,task_034,물류;알림;운영
task_036,품질 불량 원인 요약,검사 로그와 불량 코드 이력을 분석해 주요 원인을 요약합니다.,system,검사로그;불량코드,원인요약;개선권고,,품질;분석;제조
task_037,공정 이상 탐지,설비 센서 데이터에서 공정 이상 패턴을 탐지합니다.,system,설비센서데이터;공정기준값,이상탐지결과;이상시점,,제조;탐지;IoT
task_038,설비 예방정비 일정 추천,고장 이력과 사용시간을 기반으로 예방정비 일정을 추천합니다.,system,고장이력;설비가동시간,정비일정;우선순위,task_037,제조;추천;유지보수
task_039,생산 계획 자동 조정,수요 예측과 설비 가용성을 반영해 생산 계획을 자동 조정합니다.,system,수요예측;설비가용성;재고현황,조정생산계획,task_031;task_038,제조;계획;최적화
task_040,고객 문의 자동 분류,고객 문의를 유형별로 자동 분류해 담당 팀에 배정합니다.,system,문의본문;고객정보,문의유형;배정팀,,고객지원;분류;자동화
task_041,고객 문의 자동 분류(채널 확장),이메일/챗/전화 전사 문의를 통합 분류해 담당 팀에 배정합니다.,system,문의텍스트;채널정보;고객정보,문의유형;배정팀,,고객지원;분류;자동화
