id,name,description,actor,input_data,output_data,dependencies,tags
task_001,글로벌 관세율 조회,HS Code 기반으로 전 세계 국가별 관세율 및 협정 세율을 조회합니다.,user,HS Code;국가코드,관세율;협정세율,,조회;무역;정형데이터
task_002,수출입 통계 분석,특정 기간 동안의 품목별/국가별 수출입 통계를 분석하여 리포트를 생성합니다.,system,기간;품목코드,통계리포트;그래프,,분석;통계;데이터
task_003,선적 서류 자동 검증,인보이스와 패킹리스트의 데이터 불일치(중량, 수량, 금액)를 자동으로 검증합니다.,system,인보이스;패킹리스트,검증결과;오류항목,,자동화;검증;문서
task_004,물류비 견적 비교,출발지/도착지 및 화물 정보를 입력하면 여러 포워더의 예상 견적을 비교 분석합니다.,user,출발지;도착지;화물정보,견적비교표;최저가,,비교;분석;물류
task_005,바이어 이메일 초안 작성,신규 바이어에게 보낼 제품 소개 이메일 초안을 상대방 문화와 언어에 맞춰 작성합니다.,user,제품정보;바이어정보,이메일초안,,생성;이메일;텍스트
task_006,환율 변동 알림,설정한 목표 환율 도달 시 또는 급격한 변동 감지 시 담당자에게 즉시 알림을 보냅니다.,system,실시간환율;목표값,알림메시지,,알림;모니터링;금융
task_007,HS Code 자동 분류,제품 설명과 이미지를 분석하여 가장 적절한 HS Code를 추천하고 분류 근거를 제시합니다.,user,제품설명;이미지,추천HS Code;분류근거,,분류;추론;이미지
task_008,해상 운임 예측,과거 운임 데이터와 시장 지수(BDI 등)를 기반으로 향후 3개월간의 해상 운임 추이를 예측합니다.,system,과거운임;시장지수,운임예측그래프,,예측;분석;AI
task_009,신용장(L/C) 독소조항 검토,신용장 문구를 분석하여 불리하거나 위험한 독소 조항이 있는지 검토하고 수정안을 제안합니다.,user,신용장사본,리스크리포트;수정제안,,검토;법률;텍스트
task_010,경쟁사 동향 뉴스 요약,주요 경쟁사의 신제품 출시, 특허 등록, 재무 실적 관련 뉴스를 수집하여 매일 요약합니다.,system,경쟁사목록;키워드,일일뉴스요약,,요약;검색;정보
task_011,AI 챗봇 고객 상담,무역박람회 부스 방문객의 일반적인 질문(가격, 스펙, MOQ)에 대해 24시간 자동 응답합니다.,system,고객질문,자동답변,,챗봇;상담;자동화
task_012,거래처 신용도 평가,해외 거래처의 재무제표와 신용 리포트를 분석하여 거래 위험 등급을 산출합니다.,user,재무제표;기업명,신용등급;평가의견,,평가;금융;분석
task_013,원산지 증명서(CO) 발급 신청,수출 데이터 기반으로 원산지 증명서 발급 신청서를 자동으로 작성하고 제출합니다.,user,수출신고필증;BOM,CO신청서,,자동화;문서;행정
task_014,다국어 계약서 번역,무역 계약서를 법률 용어를 고려하여 지정된 언어로 초벌 번역합니다.,user,계약서원본;타겟언어,번역본,,번역;생성;법률
task_015,창고 재고 최적화 제안,현재 재고량과 출고 패턴을 분석하여 적정 안전 재고량을 제안하고 발주 시점을 알립니다.,system,재고데이터;출고이력,발주권고안,,최적화;재고;분석
task_016,적하 보험료 산출,화물 가액과 운송 조건을 기반으로 예상 적하 보험료를 산출합니다.,user,인보이스가액;운송조건,예상보험료,,계산;금융;조회
task_017,해외 전시회 추천,우리 회사의 주력 품목과 타겟 시장에 적합한 해외 유명 전시회를 추천합니다.,user,품목;타겟국가,전시회리스트;일정,,추천;검색;마케팅
task_018,바이어 미팅 일정 조율,시차가 있는 해외 바이어와의 화상 회의 가능한 교집합 시간을 찾아 미팅을 제안합니다.,system,나의캘린더;바이어타임존,추천미팅시간,,일정;자동화;지원
task_019,공급망 리스크 모니터링,주요 공급망 국가의 자연재해, 파업, 정치적 이슈를 모니터링하여 공급 차질 가능성을 경고합니다.,system,공급망지도;뉴스피드,리스크경보,,모니터링;리스크;뉴스
